SALES_ITEM_SK,SALES_ITEM_KEY,SALES_ITEM_DESC,SALES_ITEM_NM,SALES_ITEM_CATEGORY,PRODUCT_ITEM_NAME,PRODUCT_TYPE,MENU_TYPE,BUNDLE_TYPE,EVENT,DISCONTINUED_DATE,MODIFIED_TS,MEAT_BLOCK_FK,DIM_MARKET_FK
1,41,2014 Menu (To-be-updated),Unmapped items/ Catering Menu,Others,Others,Permanent,Others,Others,NULL,NULL,07:10.0,1,1
2,10001,1pc (OR),1pc COB,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
3,10002,1pc (HC),1pc COB,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
4,10015,10pcs Bucket,10pcs All-Chicken Bucket,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
5,10016,15pcs Bucket,15pcs All-Chicken Bucket,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
6,10017,21pcs Bucket,21pcs All-Chicken Bucket,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,6,1
7,30001,2pcs Chicken Meal (OR),2pcs (COB) Meal,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,6,1
8,30002,2pcs Chicken Meal (HC),2pcs (COB) Meal,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,6,1
9,30003,3pcs  Meal (OR),3pcs (COB) Meal,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,6,1
10,30004,3pcs  Meal (HC),3pcs (COB) Meal,Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,6,1
11,30005,Zinger Meal,1 Zinger Meal,Portables,Zinger Burger,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,13,1
12,30006,BBQ Meltz Meal,1 BBQ Meltz Meal,Portables,BBQ Meltz,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,15,1
13,30012,Bandito Meal,1 BBQ Pocket Meal,Portables,BBQ Pockett Bandito,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,13,1
14,30019,Fish Ole Meal,1 Fish Ole Meal,Portables,Fish Ole Burger,LTO,LTO: Occasional,Individual Meal,NULL,NULL,07:10.0,1,1
15,30030,Shrooms Meal,1 Shrooms Burger Meal,Portables,Shrooms Burger,Permanent,Permanent: Value,Individual Meal,NULL,NULL,07:10.0,15,1
16,30035,R.B. (OR) Meal,Original Rice Bowl Meal,Bowls & Rice,Original Rice Bowl,Permanent,Permanent: Value,Individual Meal,NULL,NULL,47:12.1,17,1
17,30036,R.B. (Curry),1 Curry Rice Bowl,Bowls & Rice,Curry Rice Bowl,Permanent,Permanent: Value,Ala Carte,NULL,NULL,47:12.1,17,1
18,30037,R.B. (Curry) Meal,1 Curry Rice Meal,Bowls & Rice,Curry Rice Bowl,Permanent,Permanent: Value,Individual Meal,NULL,NULL,47:12.1,17,1
19,30045,3P WINGS ML,3pcs Wings Meal,Chicken-on-bone,Chicken Wing (COB),Permanent,LTO: LSM,Individual Meal,NULL,NULL,53:55.1,21,1
20,30046,Bandito Meal (SCE),1 BBQ Pocket Meal,Portables,BBQ Pockett Bandito,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,13,1
21,30047,BBQ Meltz Meal (SCE),1 BBQ Meltz Meal,Portables,BBQ Meltz,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,15,1
22,30048,Zinger Meal (SCE),1 Zinger Meal,Portables,Zinger Burger,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,13,1
23,30049,Caesar Meal,Caeser Roast Meal,Portables,Caesar Roast,LTO,LTO: Occasional,Individual Meal,NULL,NULL,07:10.0,1,1
24,30050,Caesar Meal (SCE),Caeser Roast Meal,Portables,Caesar Roast,LTO,LTO: Occasional,Individual Meal,NULL,NULL,07:10.0,1,1
25,39101,Popcorn Ckn Snacker (Kidzania),Popcorn Snackers,Non-COB Protein,Popcorn Chicken,Permanent,Permanent: Value,Snacker,NULL,NULL,47:12.1,17,1
26,39102,2pcs Chicken Meal (Kidzania),2pcs Meal (COB),Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Individual Meal,NULL,NULL,07:10.0,6,1
27,39103,8pcs Family Feast (Kidzania),8pcs Family Feast (COB) (Kidzania),Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Group Meal,NULL,NULL,07:10.0,6,1
28,39104,OR Fillet Meal (Kidzania),1 Colonel Burger Meal,Portables,Colonel Burger,Permanent,Permanent: Value,Individual Meal,NULL,NULL,07:10.0,15,1
29,39105,6pcs Nugget Snacker (Kidzania),Nuggets Snackers,Non-COB Protein,Nugget,Permanent,Permanent: Value,Snacker,NULL,NULL,47:12.1,10,1
30,39106,Kidzania Chocolate Ice Cream,Chocolate Ice Cream,Desserts,Chocolate Ice Cream,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
31,39107,Kidzania Strawberry Ice Cream,Strawberry Ice Cream,Desserts,Strawberry Ice Cream,Permanent,Permanent: Standard,Ala Carte,NULL,NULL,07:10.0,1,1
32,39109,KZ-4P TDR SET,[Catering] 4pcs Tender,Non-COB Protein,Hot & Crispy Tender,Permanent,Catering,Ala Carte,NULL,NULL,07:10.0,16,1
33,39110,Kidzania Chocolate Ice Cream (Addon),Chocolate Ice Cream,Desserts,Chocolate Ice Cream,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
34,39111,Kidzania Strawberry Ice Cream (Addon),Strawberry Ice Cream,Desserts,Strawberry Ice Cream,Permanent,Permanent: Standard,Add-on,NULL,NULL,47:12.1,1,1
35,39510,Family Feast OR Meal (Sentosa),8pcs Family Feast (COB) (Sentosa),Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Group Meal,NULL,NULL,07:10.0,6,1
36,39511,Family Feast HC Meal (Sentosa),8pcs Family Feast (COB) (Sentosa),Chicken-on-bone,Classic COB,Permanent,Permanent: Standard,Group Meal,NULL,NULL,07:10.0,6,1
37,39601,LSM Cheese Fries,1 Cheese Fries (Coupon),Sides,Cheese Fries,Permanent,LTO: LSM,Ala Carte,NULL,NULL,07:10.0,1,1
